﻿Published/unpublished,Title,Author(s),Journal,Pub Year,Volume,Pages,Url,DOI,Description/Notes,Region,Location Name,Site Name,Latitude,Longitude,Altitude,Soil Types,Is it pasture/crop?,Is it resident/sown?,Sowing Date,Harvest Method,Irrigation Level,kgNyr,kgPyr,kgKyr,kgSyr,kgLimeyr,Defoliation Method,Dominant Species,Cultivar,Flowering Date,Additional Species,Cultivars,Experiment Name,Measurement Unit,What yield are you recording?,Data Source,Start Date,End Date,DM Yield,Grain Yield,Growth Rate,Annual Yield,Met Files,Photos,Soil Water Data,Raw Data
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,Dargaville Research Area_1,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_3- or 9-week, autumn and winter;",Kikuyu,,,,,9weekGR,kg/ha,TotalYield,Table1,13/08/1982,15/10/1982,1348.2,,21.4,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,High_Temataa Station,-34.9,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _High,,,,,,"Dry winter ",kg/ha,TotalYield,Figure 2 Digitised,20/06/2018,02/08/2018,1886,,43.8605,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,High_Temataa Station,-34.9,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _High,,,,,,"Dry winter ",kg/ha,TotalYield,Figure 2 Digitised,20/09/2018,14/11/2018,1823,,33.1455,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,High_Temataa Station,-34.9,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _High,,,,,,"Dry winter ",kg/ha,TotalYield,Figure 2 Digitised,03/05/2018,20/06/2018,1939,,40.3958,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,High_Temataa Station,-34.9,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _High,,,,,,"Dry winter ",kg/ha,TotalYield,Figure 2 Digitised,02/08/2018,20/09/2018,1833,,37.4082,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,High_Temataa Station,-34.9,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _High,,,,,,"Wet winter ",kg/ha,TotalYield,Figure 1 Digitised,23/05/2017,05/07/2017,2063,,47.9767,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,High_Temataa Station,-34.9,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _High,,,,,,"Wet winter ",kg/ha,TotalYield,Figure 1 Digitised,05/07/2017,11/08/2017,1500,,40.5405,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,High_Temataa Station,-34.9,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _High,,,,,,"Wet winter ",kg/ha,TotalYield,Figure 1 Digitised,26/10/2017,24/11/2017,1914,,66,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,High_Temataa Station,-34.9,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _High,,,,,,"Wet winter ",kg/ha,TotalYield,Figure 1 Digitised,28/09/2017,26/10/2017,1641,,58.6071,0,,,,
Unpublished,Beef Profit from Pasture Group:  6_2017AR1 Bull Stocking Rate Comparison,Beef Profit from Pasture Group,,,,,,,"Temataa Station (D.& R.O’Callaghan) Doubtless Bay; Low, Medium or High stock rate ",Northland,Taipa_Kaitaia,High_Temataa Station,-34.9,173.44,,,Pasture,Resident,,,,,,,,,StockRate_Bulls _High,,,,,,"Wet winter ",kg/ha,TotalYield,Figure 1 Digitised,11/08/2017,28/09/2017,1574,,32.7917,0,,,,
